cruise_id	depth_class	unique_samp_name_count
FK15232	Bot	9
FK15232	Sur	9
FK15307	Bot	9
FK15307	Sur	9
FK15343	Bot	9
FK15343	Sur	9
FK16048	Bot	3
FK16048	Sur	3
FK16095	Bot	9
FK16095	Sur	9
FK16336	Bot	3
FK16336	Sur	3
HG23138	Bot	9
HG23138	Sur	134
HG23314	Bot	9
HG23314	Sur	123
HG24013	Bot	9
HG24013	Sur	138
HG24062	Bot	9
HG24062	Sur	138
RTSF	Plate1	2
RTSF	Plate10	2
RTSF	Plate11	2
RTSF	Plate12	2
RTSF	Plate13	2
RTSF	Plate15	2
RTSF	Plate16	2
RTSF	Plate17	2
RTSF	Plate18	2
RTSF	Plate19	2
RTSF	Plate2	2
RTSF	Plate20	2
RTSF	Plate21	2
RTSF	Plate22	2
RTSF	Plate23	2
RTSF	Plate24	2
RTSF	Plate25	2
RTSF	Plate26	2
RTSF	Plate27	2
RTSF	Plate28	2
RTSF	Plate29	2
RTSF	Plate3	2
RTSF	Plate30	2
RTSF	Plate31	2
RTSF	Plate32	2
RTSF	Plate33	2
RTSF	Plate34	2
RTSF	Plate35	2
RTSF	Plate36	2
RTSF	Plate37	2
RTSF	Plate38	2
RTSF	Plate39	2
RTSF	Plate4	2
RTSF	Plate40	2
RTSF	Plate41	2
RTSF	Plate5	2
RTSF	Plate6	2
RTSF	Plate7	2
RTSF	Plate8	2
RTSF	Plate9	2
WB22215	Bot	9
WB22215	Sur	93
WS15148	Bot	10
WS15148	Sur	28
WS15208	Bot	12
WS15208	Sur	42
WS15208	Sur2	5
WS15264	Bot	12
WS15264	Sur	33
WS15320	Bot	9
WS15320	Sur	33
WS16004	Bot	6
WS16004	Sur	25
WS16207	Bot	9
WS16207	Sur	41
WS16263	Sur	31
WS16319	Bot	12
WS16319	Sur	67
WS17030	Bot	15
WS17030	Sur	66
WS17086	Bot	12
WS17086	Sur	69
WS17170	Bot	9
WS17170	Sur	31
WS18285	Bot	5
WS18285	Mid	3
WS18285	Sur	10
WS20231	Bot	7
WS20231	Sur	65
WS20279	Bot	9
WS20279	Sur	81
WS20342	Bot	9
WS20342	Sur	90
WS21032	Sur	114
WS21212	Sur	114
WS21278	34A	1
WS21278	Bot	12
WS21278	Sur	113
WS21338	Bot	12
WS21338	Sur	114
WS22022	Bot	9
WS22022	Sur	114
WS22072	Bot	6
WS22072	Sur	114
WS22141	Bot	9
WS22141	Sur	114
WS22281	Bot	10
WS22281	Sur	115
WS22337	Bot	6
WS22337	Sur	129
WS23011	Bot	9
WS23011	Sur	123
WS23061	Bot	9
WS23061	Sur	126
WS23203	Bot	9
WS23203	Sur	140
WS23259	Bot	12
WS23259	Sur	135
WS24139	Bot	9
WS24139	Sur	141
WS24205	Bot	23
WS24205	Mid	12
WS24205	Mid2	3
WS24205	Sur	135
